Regiao_UF;Quesito_Indigena;Localizacao_Domicilio;Quantidade;Ano;Categoria;Sexo
Nordeste;Total;Total;17233784.0;2022;Alfabetizadas;Homens
Sudeste;Total;Total;31799411.0;2022;Alfabetizadas;Homens
Sul;Total;Total;11374148.0;2022;Alfabetizadas;Homens
Centro-Oeste;Total;Total;5939915.0;2022;Alfabetizadas;Homens
Rio Grande do Norte;Total;Total;1053977.0;2022;Alfabetizadas;Homens
Rio Grande do Sul;Total;Total;4146751.0;2022;Alfabetizadas;Homens
Mato Grosso do Sul;Total;Total;991949.0;2022;Alfabetizadas;Homens
Nordeste;Total;Total;19750272.0;2022;Alfabetizadas;Mulheres
Sudeste;Total;Total;35034839.0;2022;Alfabetizadas;Mulheres
Sul;Total;Total;12196206.0;2022;Alfabetizadas;Mulheres
Centro-Oeste;Total;Total;6295286.0;2022;Alfabetizadas;Mulheres
Rio Grande do Norte;Total;Total;1227171.0;2022;Alfabetizadas;Mulheres
Rio Grande do Sul;Total;Total;4550889.0;2022;Alfabetizadas;Mulheres
Mato Grosso do Sul;Total;Total;1042408.0;2022;Alfabetizadas;Mulheres
Nordeste;Total;Total;6123989.0;2022;NaoAlfabetizadas;Total
Sudeste;Total;Total;2725139.0;2022;NaoAlfabetizadas;Total
Sul;Total;Total;842335.0;2022;NaoAlfabetizadas;Total
Centro-Oeste;Total;Total;652337.0;2022;NaoAlfabetizadas;Total
Rio Grande do Norte;Total;Total;366923.0;2022;NaoAlfabetizadas;Total
Rio Grande do Sul;Total;Total;278815.0;2022;NaoAlfabetizadas;Total
Mato Grosso do Sul;Total;Total;115864.0;2022;NaoAlfabetizadas;Total
Nordeste;Total;Total;3294136.0;2022;NaoAlfabetizadas;Homens
Sudeste;Total;Total;1269787.0;2022;NaoAlfabetizadas;Homens
Sul;Total;Total;387310.0;2022;NaoAlfabetizadas;Homens
Centro-Oeste;Total;Total;334362.0;2022;NaoAlfabetizadas;Homens
Rio Grande do Norte;Total;Total;210493.0;2022;NaoAlfabetizadas;Homens
Rio Grande do Sul;Total;Total;135133.0;2022;NaoAlfabetizadas;Homens
Mato Grosso do Sul;Total;Total;55576.0;2022;NaoAlfabetizadas;Homens
Nordeste;Total;Total;2829853.0;2022;NaoAlfabetizadas;Mulheres
Sudeste;Total;Total;1455352.0;2022;NaoAlfabetizadas;Mulheres
Sul;Total;Total;455025.0;2022;NaoAlfabetizadas;Mulheres
Centro-Oeste;Total;Total;317975.0;2022;NaoAlfabetizadas;Mulheres
Rio Grande do Norte;Total;Total;156430.0;2022;NaoAlfabetizadas;Mulheres
Rio Grande do Sul;Total;Total;143682.0;2022;NaoAlfabetizadas;Mulheres
Mato Grosso do Sul;Total;Total;60288.0;2022;NaoAlfabetizadas;Mulheres
